Date,Open,High,Low,Close,Adj Close,Volume
2008-06-30,25.500000,25.780001,25.410000,25.530001,18.481556,996800
2008-07-01,25.320000,25.990000,25.200001,25.820000,18.691496,1090800
2008-07-02,25.730000,25.809999,25.190001,25.190001,18.235426,723000
2008-07-03,25.219999,25.410000,24.879999,24.990000,18.090635,504400
2008-07-07,25.070000,25.170000,24.590000,24.740000,17.909664,631600
2008-07-08,24.670000,25.400000,24.660000,25.340000,18.344013,1321600
2008-07-09,25.330000,25.760000,25.090000,25.760000,18.648054,938400
2008-07-10,25.820000,25.980000,25.389999,25.510000,18.467072,802900
2008-07-11,25.320000,25.840000,25.049999,25.600000,18.532227,857000
2008-07-14,25.730000,25.830000,25.070000,25.090000,18.163034,601800
2008-07-15,24.990000,25.219999,24.639999,24.889999,18.018253,898500
2008-07-16,24.820000,24.900000,24.450001,24.540001,17.764881,1123100
2008-07-17,24.570000,24.570000,24.200001,24.520000,17.750397,679700
2008-07-18,24.510000,25.040001,24.330000,24.600000,17.808315,482900
2008-07-21,24.559999,24.850000,24.440001,24.830000,17.974815,446000
2008-07-22,24.629999,25.070000,24.559999,24.889999,18.018253,590000
2008-07-23,24.860001,25.040001,24.410000,24.840000,17.982058,915900
2008-07-24,24.750000,24.930000,24.559999,24.799999,17.953094,650600
2008-07-25,24.799999,25.000000,24.559999,24.799999,17.953094,853000
2008-07-28,24.700001,25.020000,24.639999,24.780001,17.938618,361200
2008-07-29,24.770000,25.049999,24.690001,25.000000,18.097876,462800
2008-07-30,25.030001,25.540001,25.030001,25.309999,18.322292,465700
2008-07-31,25.200001,25.450001,25.150000,25.160000,18.213711,606400
2008-08-01,25.200001,25.450001,24.660000,24.660000,17.851751,466600
2008-08-04,24.950001,26.150000,24.950001,26.129999,18.915907,1702000
2008-08-05,26.309999,27.200001,25.760000,26.059999,18.865229,1762300
2008-08-06,26.100000,26.620001,26.080000,26.160000,18.937616,732800
2008-08-07,26.120001,26.430000,25.790001,26.040001,18.850752,620500
2008-08-08,26.120001,27.010000,25.889999,26.889999,19.466076,1465900
2008-08-11,26.750000,27.510000,26.549999,27.330000,19.784599,1022900
2008-08-12,27.200001,27.340000,26.910000,27.040001,19.574669,664400
2008-08-13,26.770000,27.299999,26.770000,27.080000,19.603624,615000
2008-08-14,27.020000,27.110001,26.639999,26.969999,19.523991,741300
2008-08-15,26.980000,27.090000,26.700001,26.860001,19.444363,565600
2008-08-18,26.900000,27.400000,26.879999,27.389999,19.828039,731400
2008-08-19,27.219999,27.600000,27.000000,27.110001,19.625345,506500
2008-08-20,27.190001,27.490000,27.040001,27.290001,19.755646,474400
2008-08-21,27.250000,27.860001,27.049999,27.600000,19.980062,917900
2008-08-22,27.719999,28.059999,27.629999,28.030001,20.291348,445100
2008-08-25,27.980000,28.200001,27.170000,27.430000,19.856991,690200
2008-08-26,27.340000,27.700001,27.260000,27.530001,19.929384,793800
2008-08-27,27.420000,27.680000,27.379999,27.430000,20.011827,429600
2008-08-28,27.459999,27.709999,27.309999,27.639999,20.165033,427500
2008-08-29,27.520000,27.639999,26.860001,26.889999,19.617865,669300
2008-09-02,27.000000,27.510000,26.610001,26.620001,19.420887,546700
2008-09-03,26.500000,26.770000,26.420000,26.570000,19.384403,419900
2008-09-04,26.459999,26.680000,26.209999,26.440001,19.289566,704100
2008-09-05,26.420000,26.420000,25.490000,25.990000,18.961262,663800
2008-09-08,26.100000,26.520000,25.780001,26.200001,19.114473,1119800
2008-09-09,26.309999,26.430000,25.400000,25.400000,18.530821,877100
2008-09-10,25.430000,25.559999,24.900000,25.209999,18.392202,1431900
2008-09-11,25.120001,26.049999,24.809999,25.799999,18.822643,1317100
2008-09-12,25.610001,27.059999,25.549999,26.870001,19.603277,1407800
2008-09-15,25.950001,26.780001,25.799999,26.010000,18.975855,1307200
2008-09-16,25.799999,25.920000,24.730000,25.790001,18.815348,1227100
2008-09-17,25.500000,26.000000,24.730000,24.900000,18.166046,1255400
2008-09-18,24.910000,26.389999,24.879999,26.379999,19.245789,1702200
2008-09-19,27.209999,27.980000,25.629999,26.629999,19.428179,1667700
2008-09-22,26.459999,26.780001,25.770000,25.870001,18.873713,811400
2008-09-23,25.959999,26.360001,25.580000,25.580000,18.662140,631600
2008-09-24,25.559999,25.709999,25.170000,25.580000,18.662140,458800
2008-09-25,25.740000,26.230000,25.650000,25.980000,18.953966,782400
2008-09-26,25.620001,26.059999,25.200001,25.920000,18.910196,998100
2008-09-29,25.510000,25.730000,25.030001,25.490000,18.596481,1491100
2008-09-30,25.830000,25.889999,25.010000,25.650000,18.713209,1657700
2008-10-01,25.320000,26.110001,24.959999,25.969999,18.946665,1129600
2008-10-02,25.750000,26.110001,25.290001,25.490000,18.596481,1091900
2008-10-03,25.660000,25.660000,24.700001,24.750000,18.056610,1016500
2008-10-06,24.400000,24.580000,22.219999,23.170000,16.903902,1652800
2008-10-07,23.389999,23.520000,22.059999,22.219999,16.210815,1837000
2008-10-08,21.840000,22.000000,20.400000,21.280001,15.525031,3397800
2008-10-09,21.350000,21.700001,20.639999,20.850000,15.211324,1957400
2008-10-10,20.350000,20.370001,17.160000,19.150000,13.971066,3466900
2008-10-13,19.750000,21.309999,19.490000,21.209999,15.473962,2156600
2008-10-14,21.780001,22.340000,20.059999,20.750000,15.138368,2386300
2008-10-15,20.570000,20.570000,19.280001,19.280001,14.065916,2148200
2008-10-16,19.330000,20.600000,18.820000,20.540001,14.985156,3356100
2008-10-17,20.200001,20.850000,19.700001,20.110001,14.671447,2645700
2008-10-20,20.209999,21.910000,20.180000,21.889999,15.970069,1192100
2008-10-21,21.730000,22.260000,21.420000,21.549999,15.722014,1529500
2008-10-22,21.209999,21.490000,20.139999,20.809999,15.182137,1024500
2008-10-23,20.930000,21.930000,20.160000,21.320000,15.554215,1973600
2008-10-24,20.000000,21.090000,19.610001,20.730000,15.123775,1262800
2008-10-27,20.520000,20.610001,19.719999,19.719999,14.386919,1142700
2008-10-28,19.889999,21.129999,19.469999,21.129999,15.415601,1401100
2008-10-29,21.080000,21.799999,20.799999,21.049999,15.357236,1470700
2008-10-30,21.530001,22.750000,21.510000,22.660000,16.531824,1663300
2008-10-31,22.799999,22.879999,22.080000,22.559999,16.458866,1708700
2008-11-03,22.500000,22.980000,22.010000,22.610001,16.495346,992400
2008-11-04,22.879999,22.969999,22.030001,22.469999,16.393208,822300
2008-11-05,22.190001,22.450001,21.549999,21.670000,15.809564,958200
2008-11-06,21.650000,21.969999,20.480000,20.740000,15.131069,1187300
2008-11-07,20.709999,21.240000,20.600000,21.010000,15.328053,1684700
2008-11-10,21.540001,21.930000,20.770000,21.230000,15.488560,1266300
2008-11-11,21.010000,22.740000,20.879999,22.360001,16.312960,1952900
2008-11-12,22.020000,22.309999,21.480000,21.590000,15.751200,1813100
2008-11-13,21.500000,23.959999,21.340000,23.830000,17.385412,1974600
2008-11-14,23.510000,24.280001,22.879999,23.170000,16.903902,1127800
2008-11-17,23.040001,23.990000,22.860001,22.940001,16.736101,1443700
2008-11-18,22.950001,23.320000,22.250000,22.959999,16.750689,1546400
2008-11-19,22.959999,23.650000,22.010000,22.120001,16.137867,1119200
2008-11-20,21.889999,22.000000,20.650000,20.700001,15.101892,2388800
2008-11-21,20.700001,22.830000,20.350000,22.750000,16.597488,1652500
2008-11-24,23.080000,23.490000,22.440001,23.000000,16.779875,1386200
2008-11-25,23.150000,23.360001,22.420000,23.160000,16.896606,1596600
2008-11-26,22.469999,23.290001,22.430000,23.080000,16.994539,886300
2008-11-28,22.770000,23.299999,22.770000,23.299999,17.156530,507300
2008-12-01,22.820000,23.020000,21.969999,21.990000,16.191936,1674800
2008-12-02,22.420000,22.879999,21.959999,22.590000,16.633734,1633400
2008-12-03,22.190001,23.219999,22.160000,23.180000,17.068174,1586900
2008-12-04,22.730000,22.920000,21.459999,21.990000,16.191936,1533000
2008-12-05,21.520000,22.700001,21.240000,22.650000,16.677914,1210800
2008-12-08,22.940001,23.290001,22.180000,22.549999,16.604280,1273600
2008-12-09,22.520000,22.990000,22.309999,22.760000,16.758909,1126000
2008-12-10,23.070000,23.639999,22.930000,23.490000,17.296432,1542400
2008-12-11,23.360001,23.690001,22.770000,23.010000,16.942993,1418700
2008-12-12,22.469999,23.980000,22.240000,23.730000,17.473154,1507400
2008-12-15,23.820000,23.879999,22.400000,22.500000,16.567465,2024800
2008-12-16,22.559999,23.330000,22.440001,23.160000,17.053446,1972300
2008-12-17,22.990000,23.270000,22.309999,22.510000,16.574823,2205200
2008-12-18,22.629999,22.799999,22.180000,22.549999,16.604280,1860400
2008-12-19,22.639999,22.889999,22.410000,22.670000,16.692642,2125800
2008-12-22,22.709999,23.340000,22.500000,23.309999,17.163898,1567400
2008-12-23,23.430000,23.660000,22.889999,22.969999,16.913540,904900
2008-12-24,22.870001,23.170000,22.740000,22.990000,16.928265,173900
2008-12-26,22.959999,23.209999,22.870001,23.180000,17.068174,288600
2008-12-29,23.230000,23.340000,22.980000,23.270000,17.134438,613800
2008-12-30,23.389999,23.870001,23.230000,23.850000,17.561514,641100
2008-12-31,23.600000,24.219999,23.500000,24.059999,17.716141,1300100
2009-01-02,24.100000,24.469999,23.900000,24.299999,17.892868,603700
2009-01-05,24.280001,24.850000,24.139999,24.840000,18.290483,1358600
2009-01-06,24.969999,25.309999,24.410000,24.760000,18.231575,1563700
2009-01-07,24.530001,25.100000,24.299999,24.620001,18.128487,2475200
2009-01-08,24.510000,25.049999,24.209999,24.910000,18.342026,1344500
2009-01-09,25.020000,25.190001,24.549999,24.889999,18.327297,1085000
2009-01-12,24.559999,24.900000,24.320000,24.430000,17.988585,2446300
2009-01-13,24.350000,24.350000,23.590000,23.690001,17.443703,1822000
2009-01-14,23.440001,23.639999,22.889999,23.389999,17.222805,1664100
2009-01-15,23.320000,23.420000,22.760000,23.260000,17.127081,1318400
2009-01-16,23.490000,23.950001,23.280001,23.790001,17.517334,1237800
2009-01-20,23.690001,23.940001,23.139999,23.200001,17.082893,2157100
2009-01-21,23.440001,23.610001,22.900000,23.379999,17.215441,1362800
2009-01-22,23.090000,23.750000,23.040001,23.490000,17.296432,1201100
2009-01-23,23.139999,23.440001,22.940001,23.370001,17.208071,612700
2009-01-26,23.469999,24.510000,23.400000,24.200001,17.819229,1490900
2009-01-27,24.250000,24.459999,23.910000,24.160000,17.789774,1340700
2009-01-28,24.469999,24.469999,23.770000,23.930000,17.620420,1331400
2009-01-29,23.639999,24.270000,23.570000,24.049999,17.708775,1398900
2009-01-30,24.139999,24.580000,23.639999,23.799999,17.524696,1525900
2009-02-02,23.570000,24.110001,23.500000,24.030001,17.694056,1128400
